|id| |name| |birth_date|
|225| |Victor McLaglen| |1886-12-10|
|226| |Lola Duenas| |1971-10-06|
|227| |Laura Linney| |1964-02-05|
|228| |Stephen Graham| |1973-03-08|
|229| |Rachael Leigh Cook| |1979-10-04|
|230| |Patrick McGoohan| |1928-03-19|
|231| |David Tomlinson| |1917-05-07|
|232| |Alan Mowbray| |1896-08-18|
|233| |Maureen O'Hara| |1920-08-17|
|234| |Robert Wagner| |1930-02-10|
|235| |Helen McCrory| |1968-08-17|
|236| |Richard S. Castellano| |1933-09-04|
|237| |Louise Fletcher| |1934-07-22|
|238| |Kalpen Modi| |1977-04-23|
|239| |Sylvia Chang| |1953-07-22|
|240| |Colleen Dewhurst| |1924-06-03|
|241| |Christopher Eccleston| |1964-02-16|
|242| |Bruce Payne| |1958-11-22|
|243| |Frank Finlay| |1926-08-06|
|244| |Tristan Ulloa| |1970-05-06|
|245| |Eduardo Noriega| |1973-08-01|
|246| |Jodie Foster| |1962-11-19|
|247| |Margaret Lockwood| |1916-09-15|
|248| |Don Rickles| |1926-05-08|
|249| |Carol Kane| |1952-06-18|
|250| |Matthew Lawrence| |1980-02-11|
|251| |Faune A. Chambers| |1976-09-23|
|252| |Ryan Phillippe| |1974-09-10|
|253| |Michael Biehn| |1956-07-31|
|254| || ||
|255| |Mitchell Ryan| |1928-01-11|
|256| |Eric Christian Olsen| |1977-05-31|
|257| |Max Schreck| |1879-09-06|
|258| || ||
|259| |DBE| |1929-10-28|
|260| |Wallace Shawn| |1943-11-12|
|261| |Alakina Mann| |1990-08-01|
|262| |Helen Mirren| |1945-07-26|
|263| |Doris Lloyd| |1896-07-03|
|264| || ||
|265| |Christopher Lloyd| |1938-10-22|
|266| |Katherine Helmond| |1928-07-05|
|267| |Angela Bassett| |1958-08-16|
|268| |Dame May Whitty| |1865-06-19|
|269| |Walter Brennan| |1894-07-25|
|270| |Kevin Costner| |1955-01-18|
|271| |Crispin Glover| |1964-04-20|
|272| |Chulpan Khamatova| |1975-10-01|
|273| |Kevin Michael Richardson| |1964-10-25|
|274| |Roger Allam| |1953-10-26|
|275| |Sarah Bolger| |1991-02-28|
|276| |Nova Pilbeam| |1919-11-15|
|277| |Matthew Broderick| |1962-03-21|
|278| |Catherine McCormack| |1972-04-03|
|279| |Scarlett Johansson| |1984-11-22|
|280| |Laura Morante| |1956-08-21|
|281| |Angus Macfadyen| |1963-09-21|
|282| |Danny Glover| |1946-07-22|
|283| |Alexander Beyer| |1973-06-24|
|284| |Paul Lukas| |1891-05-26|
|285| |Penélope Cruz| |1974-04-28|
|286| |Gary Oldman| |1958-03-21|
|287| || ||
|288| |Michelle Pfeiffer| |1958-04-29|
|289| |Capucine| |1928-01-06|
|290| |Tom Skerritt| |1933-08-25|
|291| |Barney Clark| |1993-06-25|
|292| |Richard Petty| |1937-07-02|
|293| |Ana Torrent| |1966-07-12|
|294| |Maureen Lipman| |1946-05-10|
|295| |Andrew Shim| |1983-08-18|
|296| |Paul Dooley| |1928-02-22|
|297| |Conrad Veidt| |1893-01-22|
|298| |Tadanobu Asano| |1973-11-27|
|299| |Greta Schröder| |1891-09-07|
|300| |Gary Busey| |1944-06-29|
|301| |Thomas Kretschmann| |1962-09-08|
|302| |Michael Rapaport| |1970-03-20|
|303| |Henry Fonda| |1905-05-16|
|304| |John Cazale| |1935-08-12|
|305| |Nick Nolte| |1941-02-08|
|306| |Erik von Detten| |1982-10-03|
|307| |Georgie Henley| |1995-07-09|
|308| || ||
|309| |Frances McDormand| |1957-06-23|
|310| |Eric Sykes| |1923-05-04|
|311| |Willem Dafoe| |1955-07-22|
|312| |Natalie Portman| |1981-06-09|
|313| |Jay O. Sanders| |1953-04-16|
|314| |Linda Darnell| |1923-10-16|
|315| |CBE| |1966-05-26|
|316| |Harry Eden| |1990-03-01|
|317| |CBE| |1943-12-31|
|318| |Martin Short| |1950-03-26|
|319| |Dominic Cooper| |1978-06-02|
|320| |Robert Redford| |1936-08-18|
|321| |Betiana Blum| |1939-07-23|
|322| |Florence Lee| |1888-03-12|
|323| |Thomas Turgoose| |1992-02-11|
|324| |Alberto Jiménez| |1969-04-08|
|325| |Ángela Molina| |1955-10-05|
|326| |Anna Faris| |1976-11-29|
|327| |Tony Shalhoub| |1953-10-09|
|328| |John Getz| |1946-10-15|
|329| || ||
|330| |Tsuyoshi Ihara| |1963-11-06|
|331| |Jim Varney| |1949-06-15|
|332| |Dustin Hoffman| |1937-08-08|
|333| |Julie Walters| |1950-02-22|
|334| |Simone Mareuil| |1903-08-25|
|335| |Sean Penn| |1960-08-17|
|336| || ||
|337| |Guido Quaroni| |1967-11-09|
|338| |Luis Brandoni| |1940-04-18|
|339| |Brad Dourif| |1950-03-18|
|340| || ||
|341| |Monique Mercure| |1930-11-14|
|342| |Brenda De Banzie| |1909-07-28|
|343| || ||
|344| |Rebecca Hall| |1982-05-19|
|345| || ||
|346| || ||
|347| |Frank Vosper| |1899-12-15|
|348| |Jane Alexander| |1939-10-28|
|349| |Lon Chaney| |1883-04-01|
|350| |Meryl Streep| |1949-06-22|
|351| |Jeff Bridges| |1949-12-04|
|352| |Hugo Weaving| |1960-04-04|
|353| |Lee Strasberg| |1901-11-17|
|354| |Miranda Richardson| |1958-03-03|
|355| |Hillary Brooke| |1914-09-08|
|356| |Justin Henry| |1971-05-25|
|357| |Matthew McConaughey| |1969-11-04|
|358| |Udo Kier| |1944-10-14|
|359| |James McAvoy| |1979-04-21|
|360| |Eusebio Poncela| |1947-09-15|
|361| |Robert Duvall| |1931-01-05|
|362| |Aldo Fabrizi| |1905-11-01|
|363| || ||
|364| |OBE| |1969-02-05|
|365| |Mel Gibson| |1956-01-03|
|366| |Liam Neeson| |1952-06-07|
|367| |Doris Day| |1924-04-03|
|368| |William Moseley| |1987-04-27|
|369| |Andrew McCarthy| |1962-11-29|
|370| |Hans Heinrich von Twardowski| |1898-05-05|
|371| |Broncho Billy Anderson| |1880-03-21|
|372| |Darrell Hammond| |1955-10-08|
|373| |John Wayne| |1907-05-26|
|374| |Barry Fitzgerald| |1888-03-10|
|375| |Fionnula Flanagan| |1941-12-10|
|376| |Terrence Howard| |1969-03-11|
|377| |Dick Van Dyke| |1925-12-13|
|378| |Gwyneth Paltrow| |1972-09-27|
|379| |Linda Hamilton| |1956-09-26|
|380| |John Hurt| |1940-01-22|
|381| |Justin Whalin| |1974-09-06|
|382| |Jackie Coogan| |1914-10-26|
|383| |Samm-Art Williams| |1946-01-20|
